O*NET-SOC Code,Title,Task,Automation_Score,High_Risk,Industry
11-1011.00,Chief Executives,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",2.23,1,Management
11-1011.00,Chief Executives,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",2.23,1,Management
11-1011.00,Chief Executives,"Prepare budgets for approval, including those for funding or implementation of programs.",2.23,1,Management
11-1011.00,Chief Executives,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",2.23,1,Management
11-1011.00,Chief Executives,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",2.23,1,Management
11-1011.00,Chief Executives,Implement corrective action plans to solve organizational or departmental problems.,2.23,1,Management
11-1011.00,Chief Executives,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",2.23,1,Management
11-1011.00,Chief Executives,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",2.23,1,Management
11-1011.00,Chief Executives,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",2.23,1,Management
11-1011.00,Chief Executives,Appoint department heads or managers and assign or delegate responsibilities to them.,2.23,1,Management
11-1011.00,Chief Executives,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",2.23,1,Management
11-1011.00,Chief Executives,Review reports submitted by staff members to recommend approval or to suggest changes.,2.23,1,Management
11-1011.00,Chief Executives,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",2.23,1,Management
11-1011.00,Chief Executives,Establish departmental responsibilities and coordinate functions among departments and sites.,2.23,1,Management
11-1011.00,Chief Executives,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",2.23,1,Management
11-1011.00,Chief Executives,"Serve as liaisons between organizations, shareholders, and outside organizations.",2.23,1,Management
11-1011.00,Chief Executives,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",2.23,1,Management
11-1011.00,Chief Executives,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",2.23,1,Management
11-1011.00,Chief Executives,Attend and participate in meetings of municipal councils or council committees.,2.23,1,Management
11-1011.00,Chief Executives,Organize or approve promotional campaigns.,2.23,1,Management
11-1011.00,Chief Executives,Nominate citizens to boards or commissions.,2.23,1,Management
11-1011.00,Chief Executives,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",2.23,1,Management
11-1011.00,Chief Executives,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,2.23,1,Management
11-1011.00,Chief Executives,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",2.23,1,Management
11-1011.00,Chief Executives,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",2.23,1,Management
11-1011.00,Chief Executives,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",2.23,1,Management
11-1011.00,Chief Executives,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",2.23,1,Management
11-1011.00,Chief Executives,Refer major policy matters to elected representatives for final decisions.,2.23,1,Management
11-1011.00,Chief Executives,Direct or conduct studies or research on issues affecting areas of responsibility.,2.23,1,Management
11-1011.00,Chief Executives,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",2.23,1,Management
11-1011.00,Chief Executives,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",2.23,1,Management
11-1011.03,Chief Sustainability Officers,Monitor and evaluate effectiveness of sustainability programs.,1.56,0,Management
11-1011.03,Chief Sustainability Officers,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",1.56,0,Management
11-1011.03,Chief Sustainability Officers,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",1.56,0,Management
11-1011.03,Chief Sustainability Officers,Supervise employees or volunteers working on sustainability projects.,1.56,0,Management
11-1011.03,Chief Sustainability Officers,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",1.56,0,Management
11-1011.03,Chief Sustainability Officers,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",1.56,0,Management
11-1011.03,Chief Sustainability Officers,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,1.56,0,Management
11-1011.03,Chief Sustainability Officers,"Create and maintain sustainability program documents, such as schedules and budgets.",1.56,0,Management
11-1011.03,Chief Sustainability Officers,Formulate or implement sustainability campaign or marketing strategies.,1.56,0,Management
11-1011.03,Chief Sustainability Officers,"Research environmental sustainability issues, concerns, or stakeholder interests.",1.56,0,Management
11-1011.03,Chief Sustainability Officers,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,1.56,0,Management
11-1011.03,Chief Sustainability Officers,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",1.56,0,Management
11-1011.03,Chief Sustainability Officers,Develop methodologies to assess the viability or success of sustainability initiatives.,1.56,0,Management
11-1011.03,Chief Sustainability Officers,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",1.56,0,Management
11-1011.03,Chief Sustainability Officers,Write and distribute financial or environmental impact reports.,1.56,0,Management
11-1011.03,Chief Sustainability Officers,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",1.56,0,Management
11-1011.03,Chief Sustainability Officers,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",1.56,0,Management
11-1011.03,Chief Sustainability Officers,Conduct risk assessments related to sustainability and the environment.,1.56,0,Management
11-1021.00,General and Operations Managers,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",2.31,1,Management
11-1021.00,General and Operations Managers,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",2.31,1,Management
11-1021.00,General and Operations Managers,Direct administrative activities directly related to making products or providing services.,2.31,1,Management
11-1021.00,General and Operations Managers,Prepare staff work schedules and assign specific duties.,2.31,1,Management
11-1021.00,General and Operations Managers,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",2.31,1,Management
11-1021.00,General and Operations Managers,"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",2.31,1,Management
11-1021.00,General and Operations Managers,"Perform personnel functions, such as selection, training, or evaluation.",2.31,1,Management
11-1021.00,General and Operations Managers,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",2.31,1,Management
11-1021.00,General and Operations Managers,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,2.31,1,Management
11-1021.00,General and Operations Managers,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",2.31,1,Management
11-1021.00,General and Operations Managers,"Set prices or credit terms for goods or services, based on forecasts of customer demand.",2.31,1,Management
11-1021.00,General and Operations Managers,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",2.31,1,Management
11-1021.00,General and Operations Managers,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",2.31,1,Management
11-1021.00,General and Operations Managers,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",2.31,1,Management
11-1021.00,General and Operations Managers,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",2.31,1,Management
11-1021.00,General and Operations Managers,Plan store layouts or design displays.,2.31,1,Management
11-1021.00,General and Operations Managers,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.",2.31,1,Management
11-2011.00,Advertising and Promotions Managers,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",2.01,0,Management
11-2011.00,Advertising and Promotions Managers,Coordinate with the media to disseminate advertising.,2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",2.01,0,Management
11-2011.00,Advertising and Promotions Managers,Plan and execute advertising policies and strategies for organizations.,2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",2.01,0,Management
11-2011.00,Advertising and Promotions Managers,Prepare budgets and submit estimates for program costs as part of campaign plan development.,2.01,0,Management
11-2011.00,Advertising and Promotions Managers,Contact organizations to explain services and facilities offered.,2.01,0,Management
11-2011.00,Advertising and Promotions Managers,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.",2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Manage sales team, including setting goals, providing incentives, and evaluating employee performance.",2.01,0,Management
11-2011.00,Advertising and Promotions Managers,Prepare and negotiate advertising and sales contracts.,2.01,0,Management
11-2011.00,Advertising and Promotions Managers,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,2.01,0,Management
11-2011.00,Advertising and Promotions Managers,Train and direct workers engaged in developing and producing advertisements.,2.01,0,Management
11-2011.00,Advertising and Promotions Managers,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.",2.01,0,Management
